item_id,category,status,verification_type,evidence_path,notes
AC-001,AC,Pass,저장소 확인 가능,01_ac/AC-001-auth/,OTP/세션/관리자 차단 증빙 연결
AC-002,AC,Pass,저장소 확인 가능,01_ac/AC-002-chat/,정상 채팅 응답 증빙 연결
AC-003,AC,Pass,저장소 확인 가능,01_ac/AC-003-guardrail/,가드레일 응답 증빙 연결
AC-004,AC,Pass,저장소 확인 가능,01_ac/AC-004-admin-view/,관리자 조회 화면 증빙 연결
AC-005,AC,Pass,저장소 확인 가능,01_ac/AC-005-content-management/,콘텐츠 관리 화면 증빙 연결
AC-006,AC,Pass,저장소 확인 가능,01_ac/AC-006-conversation-storage/,세션 저장/재조회 증빙 연결
AC-007,AC,확인 불가,운영 증빙 필요,01_ac/AC-007-deployment/,운영 URL 실가동 증빙 필요
LIM-001,LIM,확인 불가,운영 증빙 필요,02_lim/LIM-001-image-setup/,초기 500개 세팅 증빙 필요
LIM-002,LIM,확인 불가,운영 증빙 필요,02_lim/LIM-002-sms/,문자 발송량 증빙 필요
LIM-003,LIM,확인 불가,운영 증빙 필요,02_lim/LIM-003-server-period/,서버 운영 기간 증빙 필요
LIM-004,LIM,확인 불가,운영 증빙 필요,02_lim/LIM-004-ai-api-period/,AI API 운영 증빙 필요
LIM-005,LIM,확인 불가,운영 증빙 필요,02_lim/LIM-005-rag-api-period/,RAG API 운영 증빙 필요
LIM-006,LIM,확인 불가,운영 증빙 필요,02_lim/LIM-006-warranty-as/,무상 A/S 대응 이력 필요
