category,item_id,file_name,file_type,created_at,owner,description,notes
AC,AC-001,request-start-verification.json,json,YYYY-MM-DD HH:MM KST,,OTP 시작 요청 본문,
AC,AC-001,response-start-verification.json,json,YYYY-MM-DD HH:MM KST,,OTP 시작 응답 본문,
AC,AC-001,request-login.json,json,YYYY-MM-DD HH:MM KST,,로그인 요청 본문,
AC,AC-001,response-login.json,json,YYYY-MM-DD HH:MM KST,,로그인 응답 본문,
AC,AC-001,response-session.json,json,YYYY-MM-DD HH:MM KST,,세션 조회 응답,
AC,AC-001,screen-admin-unauthorized.png,png,YYYY-MM-DD HH:MM KST,,비인가 관리자 접근 차단 화면,
AC,AC-002,request-chat-normal.json,json,YYYY-MM-DD HH:MM KST,,일반 채팅 요청,
AC,AC-002,response-chat-normal.json,json,YYYY-MM-DD HH:MM KST,,일반 채팅 응답,
AC,AC-003,request-guardrail-case-01.json,json,YYYY-MM-DD HH:MM KST,,가드레일 테스트 요청,
AC,AC-003,response-guardrail-case-01.json,json,YYYY-MM-DD HH:MM KST,,가드레일 테스트 응답,
AC,AC-004,screen-admin-operations.png,png,YYYY-MM-DD HH:MM KST,,운영 상태 화면,
AC,AC-005,screen-content-weeks.png,png,YYYY-MM-DD HH:MM KST,,주차별 간호 정보 화면,
AC,AC-006,response-sessions-list.json,json,YYYY-MM-DD HH:MM KST,,세션 목록 응답,
AC,AC-006,response-session-detail.json,json,YYYY-MM-DD HH:MM KST,,세션 상세 응답,
AC,AC-007,screen-production-entry.png,png,YYYY-MM-DD HH:MM KST,,운영 URL 접속 화면,
LIM,LIM-001,image-inventory.csv,csv,YYYY-MM-DD HH:MM KST,,이미지 자산 목록,
LIM,LIM-002,sms-usage-monthly.csv,csv,YYYY-MM-DD HH:MM KST,,문자 발송 월별 집계,
LIM,LIM-003,uptime-summary.csv,csv,YYYY-MM-DD HH:MM KST,,서버 운영 기간 요약,
LIM,LIM-004,ai-usage-monthly.csv,csv,YYYY-MM-DD HH:MM KST,,AI API 월별 사용량,
LIM,LIM-005,rag-usage-monthly.csv,csv,YYYY-MM-DD HH:MM KST,,RAG API 월별 사용량,
LIM,LIM-006,issue-log.csv,csv,YYYY-MM-DD HH:MM KST,,무상 A/S 이력,
OPS,OPS-001,submission-note.md,md,YYYY-MM-DD HH:MM KST,,제출 메모,
OPS,OPS-002,reviewer-feedback-template.md,md,YYYY-MM-DD HH:MM KST,,검수자 피드백 기록,
