iteration	dimension	classification	severity	title	description	parent
1	happy_path	new	-	최초 가입 완전 플로우	전화번호 OTP → 비밀번호 설정 → 온보딩 → 홈	-
2	happy_path	new	-	재로그인 후 상담 이어가기	전화번호+비밀번호 로그인 → 이전 세션 확인 → 대화 이어가기	-
3	happy_path	new	-	AI 상담→저장→캘린더 재열람	상담 → 응답 저장 → 날짜별 기록 → 원문 이동	-
4	error_path	new	HIGH	OTP 인증 실패 — 잘못된 코드	틀린 OTP 입력 시 에러 처리, 재시도, brute-force 방지	-
5	error_path	new	HIGH	AI 응답 실패 — API 타임아웃	Schift/Gemini 30초+ 무응답 시 fallback 처리	-
6	error_path	new	MEDIUM	네트워크 끊김 중 채팅	fetch 실패 시 전송 실패 표시, 재시도, 중복 방지	-
7	edge_case	new	HIGH	임신 0주차/42주차 경계	출산일 이후 음수/초과 주차 처리	-
8	edge_case	new	HIGH	온보딩 빈 입력 / 최소 데이터	필수 필드 비움 시 진행 차단 여부	-
9	edge_case	new	MEDIUM	초장문 메시지 입력	5000자+ 텍스트 전송 시 API 크기 제한/토큰 비용	-
10	data_variation	new	LOW	특수문자/이모지 이름	이모지·한자 이름 저장/표시/AI 참조	-
11	permission	new	HIGH	세션 만료 후 접근 시도	1년 토큰 만료 시 401 처리, 로그인 리다이렉트	-
12	permission	new	CRITICAL	타인 세션 ID로 대화 조회	다른 사용자의 sessionId로 API 직접 호출	-
13	permission	new	HIGH	미인증 상태 홈/채팅 직접 진입	딥링크로 인증 없이 접근 시도	-
14	temporal	new	LOW	자정 경계 감정 기록	23:59 시작 → 00:01 저장 시 날짜 결정	-
15	temporal	new	MEDIUM	임신 주차 변경 경계일	35주→36주 전환 시 콘텐츠/AI 맥락 갱신	-
16	state_transition	new	HIGH	온보딩 중간 이탈→재진입	2단계 완료 후 앱 종료 → 재진입 시 상태	-
17	state_transition	new	MEDIUM	채팅 중 앱 백그라운드→복귀	AI 응답 대기 중 백그라운드 → 5분 후 복귀	-
18	integration	new	HIGH	SMS 벤더 장애 시 가입 불가	Twilio/Solapi 5xx 시 에러 처리	-
19	integration	new	MEDIUM	Push 토큰 미등록 + SMS fallback	알림 권한 거부 사용자에게 SMS 대체 발송	-
20	concurrent	new	MEDIUM	다중 기기 동시 로그인	2대 기기 동시 채팅 시 세션 상태 일관성	-
21	abuse	new	CRITICAL	가드레일 우회 시도 (Jailbreak)	DAN/Jailbreak 프롬프트로 가드레일 탈옥	-
22	abuse	new	HIGH	Rate limit 20회/분 초과	자동화 또는 빠른 탭으로 rate limit 테스트	-
23	scale	new	MEDIUM	대화 세션 100개+ 사용자	장기 사용자 대량 세션 목록 로드 성능	-
24	recovery	new	HIGH	메시지 저장 중 서버 오류	DB insert 실패 시 부분 저장 방지	-
25	recovery	new	HIGH	비밀번호 분실→관리자 복구 플로우	비번 재설정 경로 존재 여부, 복구 후 데이터 유지	-
